"id","marital","timeWwa","dog","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","internetuse","tvtime","moviefreq","movie30","bookfreq","book12","pressfreq","musicfreq","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","trainfreq","trainfav","bookquant","cdquant","artquant","age","ISCObroad","incomeclass","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro"
93,"nf_rel","19","yes","<=highschool+tech","soc/beh","fl_edu","no_job","high","<=med","high","0","4","no_car","other","family","tv","no_tablet","no_blog/web",0,"sometimes",3,"often",12,"often","everyday","rarely","never","sometimes","rarely","regularly","never","never","1","1","regularly","run","hundreds","tens","tens+","24","no_job","low",1,31,19,40,5,3.83333333333333,1.83333333333333,-0.926870504621442,-0.248196338292574,-1.55936112618539,-0.279022014616578,0.23443528047568,0.317125411648953,-1.67295245527012,-0.748112451495166,0.281336876892764,-2.04383635644613,-0.740406102443468,-0.0883961448041121,-0.422933824597576,0.434650524724521,0.267007791957331,0.847717944446518,-0.626331508886865,-0.197324560424007,0.937049281987471,-0.41424000591079,-1.81578536832497
95,"single","6","no","MA+","human/lang","no_fl_edu","full","<=med","<=med","high","2","3","no_car","apartment","own","tv","no_tablet","no_blog/web",0.5,"rarely",3,"often",8,"rarely","not_everyday","rarely","never","rarely","rarely","rarely","never","never","1","1","sometimes","ind","hundreds","few","few","30","high:mng/pro/self","mid/high",4,39,15,45,5,4,1.66666666666667,-0.363086599462904,1.12814295222764,-0.643021413087883,0.102142186586145,0.259863777547368,-3.24611854684408,-0.107718176008692,-0.0949669876565249,-1.80428040602502,1.29805264691146,-0.901213830520835,0.845481042116193,-0.269241944255958,-1.62886326352149,1.04335822976111,-0.106990082658341,0.169874530715962,-1.51573679866712,-1.55842706504166,-0.625401531312133,-1.54494345624812
98,"nf_rel","23","yes","BA","soc/beh","fl_edu","flexible","high","high","high","3","4","1car+","apartment","own","tv","tablet","blog/web",3,"rarely",4,"often",43,"often","everyday","regularly","regularly","regularly","regularly","rarely","rarely","regularly","3","1","regularly","ind","hundreds","hundreds","tens+","23","high:mng/pro/self","mid/high",3,37,22,42,3,4.66666666666667,3,-1.20776449050039,-0.0722623405837898,0.0567480267151877,0.152627715568052,-0.591421331077361,-0.000685850442243091,-1.76031412031929,-0.0619353692241288,1.65795917330351,-1.35574798856611,-0.411448878597235,0.665506318476158,-0.276654309229211,1.10807897787649,-0.241290323631058,1.45343062637149,0.886434456805879,0.760865821024453,-0.527621996939878,0.707019863651236,-1.39048919786784
100,"nf_rel","22","no","<=highschool+tech","soc/beh","fl_edu","no_job","high","high","don't_know","1","4","no_car","apartment","own","tv","no_tablet","blog/web",1,"rarely",3,"often",12,"rarely","everyday","rarely","rarely","sometimes","sometimes","sometimes","never","rarely","1","1","sometimes","ind","hundreds","tens","few","21","no_job","low",2,35,19,44,3,4.33333333333333,3,-0.531233549613962,-1.17953829440543,0.562644347671972,-0.582039122139075,-0.97559797601984,0.305682612439992,-0.34292678293747,-0.113035956541913,1.04816174710693,-1.59280854337432,0.423192303089549,-0.669621424742636,0.532321388456802,1.00862936479251,0.236482789606208,0.340960912541726,-2.7150155104335,0.237805942550887,-1.69650421106932,-0.115320314335224,0.0639252627478815
101,"single","23","no","BA","human/lang","fl_edu","no_job","don't_know","high","<=med","0","3","1car+","apartment","own","tv","no_tablet","no_blog/web",0,"sometimes",15,"often",15,"often","everyday","regularly","never","regularly","sometimes","sometimes","never","never","1","1","sometimes","ind","hundreds","hundreds","zero","23","no_job","low",3,32,16,39,2,4.5,1.83333333333333,-0.768220844601851,0.526878775642336,1.27237829816514,-0.389674446282929,-0.322530763875421,1.41477660958537,-0.712416173770329,-0.358355852194274,1.08202435166694,0.19856555590042,1.03749510000151,-0.0638529990986203,0.488276912835194,0.286249606696211,-0.465480232238635,0.369086465965532,-0.525065818836065,1.01922565786499,-0.749222533306061,0.395831867764641,-1.83336510953578
102,"single","3","yes","<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high","1","2","no_car","other","rent","tv","no_tablet","no_blog/web",0.5,"often",20,"often",40,"sometimes","everyday","regularly","rarely","sometimes","regularly","rarely","regularly","regularly","5","3","regularly","ind","hundreds","hundreds","few","21","low:phys/sale/serv/assoc_pro","low",3,36,22,35,1.5,4.16666666666667,3,-0.358723472869415,0.560060136581162,0.204014994867444,1.68236923387394,0.752923277001125,1.19986487381729,0.602337154739452,1.23597153484754,1.00164113563912,1.28458372584099,1.3563988014889,1.35616663181118,-0.361885189527994,0.0796675673228792,-1.27902074662132,0.6991919183099,0.943516013476687,-0.0539594574529481,-0.716348222404907,0.346377590141153,-0.241494503274383
103,"single","5","no","MA+","human/lang","fl_edu","part","<=med","high","<=med","1","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",7,"sometimes",4,"often",50,"often","everyday","regularly","never","regularly","sometimes","rarely","sometimes","never","2","1","sometimes","run","tens","few","zero","26","low:phys/sale/serv/assoc_pro","low",1,36,14,26,2,2.66666666666667,2.83333333333333,-0.844258645457893,1.10523842652815,-0.662101668975423,-0.101178577445622,-0.0406330920787316,0.0573615182474741,0.0528767776573982,-0.889774631015097,0.737552096983878,-1.25262704093811,0.308643994064982,-0.449505429951451,-0.14875542945214,0.355308195242508,0.0281535330729897,1.62454770624439,0.167401511796786,1.10760423437528,-0.771345333517626,0.0856851976419353,0.762727224668732
104,"single","24","no","<=highschool+tech","STEM/med","fl_edu","no_job","high","high","high","0","3","no_car","apartment","own","tv","no_tablet","no_blog/web",0,"rarely",1,"often",15,"often","everyday","rarely","rarely","sometimes","sometimes","regularly","never","never","1","1","sometimes","ind","hundreds","hundreds","zero","24","no_job","low",0,23,18,39,1.5,3,3,-1.69490484319195,0.0159119726243034,0.00654084829064247,-0.169056587527991,-0.997723519194939,-0.186142360389557,-2.34908972382391,-1.26935814786021,0.926097935833277,-1.80546911178639,0.159577478224058,-0.769409737244643,-1.54550845739645,-1.32461542798104,-1.86902646437744,0.863364120320965,-0.98485814479063,1.2477364462302,-0.582341987417458,-0.413479666907282,-0.696096107091146
105,"single","3","no","<=highschool+tech","human/lang","fl_edu","flexible","high","high","<=med","0","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"often",3,"often",20,"often","everyday","regularly","rarely","regularly","regularly","regularly","sometimes","never","1","1","sometimes","ind","tens","tens","zero","22","high:mng/pro/self","low",1,37,6,26,1,2.16666666666667,3,-0.956305876567003,-0.75529351230326,0.856663936745083,-0.53903289206692,-0.636136837962996,0.797372585483261,-0.751888522479468,-0.619909235158193,1.85800510977945,-0.747085729935517,0.0424087859991225,-0.356255169600389,1.27437710586686,1.38221907618807,-0.99683001854187,1.42710135249988,-0.82969374817397,1.05978345118776,-1.48999287427529,-0.704241853615786,0.321305897958652
106,"nf_rel","5","no","<=highschool+tech","soc/beh","fl_edu","flexible","<=med","high","<=med","0","3","no_car","apartment","rent","no_tv","no_tablet","no_blog/web",0,"often",20,"often",8,"often","everyday","rarely","never","sometimes","sometimes","sometimes","never","never","1","1","sometimes","ind","hundreds","tens","few","24","low:phys/sale/serv/assoc_pro","low",2,30,12,32,2,3.33333333333333,2.16666666666667,1.39105919707837,-0.674343065998101,0.789038684258094,0.582572937771452,-1.83060729095958,-0.419848997927468,-2.03804476614842,1.46737688202042,1.26444536384932,-1.17922296850257,-0.140694080650411,0.614876196942359,0.329200921789446,-0.42194836364415,-1.82936200475487,1.11570089825932,-1.14129416518063,0.712695759164214,-0.37769530806736,1.00532035934062,-0.791844383772548
