"id","marital","timeWwa","edu","eduprog","edutime","worktime","fatheredu","motheredu","grandedu","income","lifestd","cars","hometype","homestatus","tv","tablet","moviefreq","bookfreq","pressfreq","musicfreq","theater","opera","cinema","art","livemusic","club","sportshow","sportint","football","bookquant","cdquant","artquant","age","ISCObroad","incomeclass","civic","resmob","soccont","attgen","attgiven","attdiscovered","attnoatt","tvinfo","tvlowbrow","tvhighbrow","tvpop","tvcons","moviesepic","movieshigh","movieslight","bookshigh","bookslow","booksknow","booksfant","pressgen","pressknow","presscons","presslib","pressspec","musichigh","musicmodern","musicrock","musicafro","cultcap","lifestab","wealth","cluster","can1","can2","ent_total","ent_avg","ent_wgh","ent_max","ent_min","places","fullent","connections","netcomm"
210,"relationship",4,"<=highschool+tech","STEM/med","fl_edu","job","<=med","<=med","<=med",2,4,"no_car","apartment","rent","tv","no_tablet","sometimes","rarely","rarely","everyday","regularly","never","sometimes","sometimes","sometimes","sometimes","rarely",3,1,"tens","few","few",22,"low:phys/sale/serv/assoc_pro","mid/high",1,8,5,2.375,1.5,3.33333333333333,4.66666666666667,4.70039136106932,4.35660829518148,6.07098703809015,4.03033058713543,2.84783074819463,5.42917119530428,5.75061465241158,3.44845079834682,5.43920061768606,5.29701629366935,5.36269848751513,1.98610521791938,4.25143296912982,4.21788018406112,4.15723939591719,4.24970264985175,5.58812215437151,5.22915637366146,4.86744924952296,5.19203056579627,5.7696809116852,2.80484115913404,5.16445133995895,3.2331633501909,"Studenci",4.66782137968666,5.34063229834471,10.8019967985819,1.35024959982273,1.42968038899294,1.58322627406798,0.970950594454669,8,1.53479731041022,125,"Main"
211,"relationship",20,"<=highschool+tech","no_uni_edu","fl_edu","no_job","high","high","<=med",0,3,"no_car","apartment","family","tv","tablet","rarely","often","often","everyday","rarely","never","sometimes","rarely","sometimes","regularly","rarely",4,4,"thousands","hundreds","few",20,"no_job","low",3,4,8,4.125,3.5,3.5,1.66666666666667,6.13628089366738,5.47569722200957,5.25719048142665,2.84195731347572,3.64483149547024,3.45002640463845,5.78479841194109,4.02811299221616,3.22481060312446,5.34755480756906,2.83526855041096,3.21958654807175,4,3.27582810855789,5.1642433250851,3.37123909310384,1,2.96518570171412,3.20898872180951,4.90328273408233,5.7509495840543,4.62845580255502,1.28099558958228,4.81492473855977,"Studenci",5.76260423021059,5.1518723145729,3.87294748163292,0.774589496326585,1.07006236749595,1.45914791702724,0,5,1.48547529722733,19,"None"
212,"single",6,"BA","soc/beh","fl_edu","flexible","high","<=med","<=med",0,4,"no_car","apartment","own","tv","no_tablet","sometimes","often","sometimes","not_everyday","regularly","rarely","sometimes","sometimes","rarely","never","never",3,2,"hundreds","tens","few",22,"low:phys/sale/serv/assoc_pro","low",2,10,11,3.75,1.5,4,2.66666666666667,2.39068613011808,5.14183390426615,5.0108670020823,3.95241083510405,4.31432795322977,5.53945686730127,4.00412567879575,2.40154702246485,5.65662395565765,3.64346198668379,5.1112595756666,3.03477188693972,4.43703003157294,5.71143876089405,4.21305076171258,4.11292938085584,4.12517082137074,5.58947700680242,3.35022420992884,4.12267143306246,5.48286023337903,3.49494844594693,3.90893236674953,2.69430648700281,"Wolne_Zawody",3.45294013249181,4.4478470192504,15.8505773062942,1.32088144219118,1.43976562241355,1.57457837585435,0,12,1.53786766838523,150,"Main"
213,"relationship",19,"<=highschool+tech","soc/beh","fl_edu","flexible","high","high","high",0,4,"1car+","apartment","own","no_tv","no_tablet","sometimes","often","rarely","not_everyday","regularly","regularly","sometimes","rarely","rarely","rarely","rarely",3,4,"hundreds","tens","few",20,"low:phys/sale/serv/assoc_pro","low",7,13,13,4.375,2,3.83333333333333,2.83333333333333,3.40490852714301,4.35153906586872,6.20583669489497,1.78992861555598,5.23396134358745,4.38771566232274,3.02521650483319,5.24192789812866,4.99223012702726,4.4328567642712,3.65857525677625,5.48107092271048,2.85100282899171,5.8899425497046,5.22935446419545,3.32280838257295,4.73195753326791,5.56241910550654,3.70298401575095,3.72603164670928,3.90828739012666,4.41285325916257,4.45671699250588,2.95745361620128,"Wolne_Zawody",2.55037553984305,3.71242816120644,9.68312826510329,1.07590314056703,1.28254924663318,1.58496250072116,0,9,1.54269189940725,82,"None"
214,"single",22,"<=highschool+tech","human/lang","fl_edu","no_job","<=med","<=med","<=med",0,4,"no_car","other","family","tv","tablet","sometimes","often","sometimes","everyday","regularly","rarely","sometimes","sometimes","rarely","regularly","regularly",4,4,"tens","tens","few",22,"no_job","low",3,10,9,4,1.5,4.5,2.83333333333333,4.37091536532932,4.1918484215919,5.96896410201254,4.4978900307682,3.06859016375231,5.45322840784281,5.44388528286225,3.77191726317651,5.72515024748025,4.35435469127991,4.68606746445083,2.59807195073371,5.32426962191763,5.37373395245486,3.26986681789459,5.29782563376377,5.17123057882707,4.64656793491361,3.91216454103029,3.07251594145105,5.45801100019169,4.01785442434473,1,4.42540605294423,"Studenci",4.59861791857143,5.76553178314393,9.71774405041491,1.38824915005927,1.43059863834454,1.57662122010749,1,7,1.46880260669926,122,"Main"
215,"single",13,"BA","human/lang","fl_edu","no_job","<=med","high","don't_know",0,4,"no_car","apartment","own","tv","tablet","often","often","often","everyday","rarely","never","regularly","rarely","rarely","never","never",1,1,"hundreds","tens","tens+",20,"no_job","low",0,10,4,3.625,1,3,3.16666666666667,5.64392865969804,4.74318142685905,6.33978143569954,5.51992269325318,1.36930739728341,2.50117503529789,5.11778563269044,5.08483624747818,4.47089940011785,4.15831105133217,3.15083988247281,4.17807434061744,4.68571364589918,2.85092791036611,1.37674588045222,2.23980409314666,1.50353306219368,3.51945873958485,3.17606302041158,2.01538007631123,5.17670445507274,3.26892737075179,1.63321864675697,4.62195960060785,"Studenci",7,4.91268409519255,1.52192809488736,1.52192809488736,1.52192809488736,1.52192809488736,1.52192809488736,1,1.52192809488736,4,"None"
216,"relationship",21,"<=highschool+tech","no_uni_edu","fl_edu","no_job","<=med","<=med","<=med",0,3,"no_car","apartment","own","tv","tablet","sometimes","sometimes","often","everyday","regularly","never","sometimes","rarely","rarely","sometimes","never",1,1,"hundreds","tens","few",21,"no_job","low",2,11,1,4.375,2.5,3.33333333333333,2.83333333333333,4.84054220582516,5.86232501048231,6.83902903554742,5.57466274603907,1.75437089298903,3.52715071619996,5.13440751738975,2.83355896697618,3.86176486013547,5.63135113135613,4.8964443573277,2.34863225543837,3.80352154020155,4.5239891211551,4.21305076171258,4.11292938085584,4.12517082137074,4.56113106058514,3.47230784955628,2.32818202599109,4.78542944442076,3.03195211574315,1.37538616405704,5.13862100328642,"Studenci",6.14834774610607,6.02822107626239,1.309296668237,0.436432222745668,0.7577330785708,1.309296668237,0,3,1.3844315043406,11,"None"
217,"relationship",24,"BA","human/lang","fl_edu","flexible","<=med","high","<=med",1,3,"no_car","apartment","family","tv","no_tablet","often","often","sometimes","not_everyday","rarely","rarely","regularly","sometimes","rarely","never","regularly",5,1,"thousands","hundreds","tens+",24,"high:mng/pro/self","low",6,6,12,3.125,1.5,3.66666666666667,2.16666666666667,1.17845190996411,4.58453344543834,6.31465187068848,5.28761249387076,2.8868553148976,4.92687842792518,4.71101946102486,5.15033445247387,5.7908474827911,4.55090998800515,5.40188076643263,7,4.40402831716363,4.88608655046588,4.29230707411598,6.13149732372316,6.0375386519275,5.30506224891726,2.50129561716949,4.29388997572041,4.02871582023156,4.67460564049354,4.26797987942853,3.18907732740754,"Wolne_Zawody",2.11240158612511,4.31499009076795,6.24495058139944,0.693883397933271,0.991418514621572,1.49669176167996,0,9,1.49511234510993,85,"Main"
218,"single",20,"<=highschool+tech","human/lang","fl_edu","no_job","high","high","high",1,4,"no_car","other","own","no_tv","tablet","rarely","often","often","everyday","regularly","regularly","sometimes","regularly","regularly","never","never",1,1,"thousands","hundreds","tens+",19,"no_job","low",3,9,15,4.375,5,4.33333333333333,1.5,1.59257035097094,3.01009779108002,2.79186587793818,1,1.50051710682011,3.77972573636493,2.94745721788421,3.17737696878038,4.47388209750146,4.41451269456098,3.905219313079,4.28655407416672,2.46168320527403,3.42543159112162,2.84061368352666,4.95079334026431,3.55839642342193,6.29228518240542,2.19944996462844,4.84324945455002,4.22124101308634,6.47043808124273,1.260783520287,3.86201442455051,"Kulturalnie_wycofani",4.51151402155955,2.13423682324472,3.87340552703838,0.968351381759596,1.19879478085862,1.32230578885331,0,4,1.26550131606678,43,"None"
219,"relationship",6,"MA+","soc/beh","fl_edu","flexible","<=med","high","high",1,4,"1car+","apartment","family","tv","no_tablet","often","often","often","not_everyday","regularly","rarely","regularly","sometimes","sometimes","rarely","regularly",5,1,"hundreds","hundreds","few",24,"high:mng/pro/self","low",9,12,14,3.375,2,4,2.83333333333333,2.54872472879347,4.57696390065222,6.64062960524183,4.00351004520884,4.01216020048368,5.89004055176385,3.36624323900582,5.24514889309253,5.85750299373872,4.09954078056961,4.47049969960114,4.28353659041894,4.86753113436278,5.53171819036039,3.2878880014766,3.26805523888727,4.20913961214415,5.40171054743392,2.19994638955486,4.78321506867235,4.58750898103793,5.32821702346354,4.64186399491726,4.45145706079869,"Wolne_Zawody",2.41271258424546,3.87519082104015,4.55959905352691,1.13989976338173,1.30959859868301,1.49669176167996,0.811278124459133,4,1.50655727081796,75,"Main"
220,"single",16,"<=highschool+tech","human/lang","fl_edu","flexible","high","high","high",0,3,"no_car","apartment","family","tv","tablet","often","often","rarely","everyday","regularly","rarely","regularly","sometimes","sometimes","sometimes","regularly",3,3,"hundreds","hundreds","few",20,"high:mng/pro/self","low",3,10,7,3.5,2.5,3.33333333333333,2.66666666666667,4.50069577393773,3.98943803914524,6.30373452382677,4.82178810481971,4.57389266860969,5.10660298537896,5.27271378802511,5.74063770462687,6.38365656813148,5.99990164536653,4.00637919350638,5.33174359774366,4.07333368837345,4.98077817634986,5.03410889820363,4.58547446908409,4.18082904586077,4.24939396701223,2.88423499405457,5.42944711851601,5.08533886550334,5.79083987902023,3.74667959396783,3.60770153854179,"Wolne_Zawody",3.33518341373329,5.19497702116927,7.31069972054882,1.46213994410976,1.4623571351321,1.55665670746282,1.32230578885331,5,1.50733079663374,114,"Main"
221,"single",22,"<=highschool+tech","human/lang","fl_edu","no_job","high","high","high",0,3,"no_car","apartment","own","tv","tablet","sometimes","often","rarely","everyday","rarely","never","sometimes","sometimes","sometimes","rarely","never",2,1,"hundreds","tens","few",21,"no_job","low",0,11,7,4.625,3.5,3.66666666666667,2,2.11351526710283,6.69753969806211,4.83929159815143,4.56439515307001,1.55896930853703,4.97901532907412,1.60440640636486,4.53866755283495,6.76658427711708,2.3894155815291,4.56065618377762,4.96129402083768,4.14304618963882,7,1.85378157317007,4.79555989814139,4.0709575010264,5.41082491014294,4.36531587729194,3.6523016885616,4.01711969949042,3.84958769820852,1.63321864675697,4.62195960060785,"Kulturalnie_wycofani",4.03844421617572,2.9746862255918,4.13591435307613,1.03397858826903,1.24375254798067,1.48547529722733,0,4,1.35933083223654,24,"None"
222,"relationship",9,"BA","human/lang","fl_edu","no_job","<=med","<=med","<=med",0,3,"no_car","other","rent","no_tv","no_tablet","often","often","often","everyday","regularly","rarely","regularly","regularly","sometimes","rarely","rarely",5,4,"hundreds","tens","zero",24,"no_job","low",3,4,13,4.75,2,4.83333333333333,2.16666666666667,2.67104749294413,3.95555429390645,5.84288830197393,1.85218441977727,2.52817980493612,5.61969066119921,4.24288155799621,4.48046393484786,5.57084656203626,4.9588714833982,5.55253723022916,3.36995655071382,3.7986783266683,4.61379880464913,1.58854471223265,5.19518784865897,3.51248618331402,6.09181464285517,3.30708229679985,2.72263066148953,4.78032346849892,4.6620015123753,1.86598342404319,2.63617161953383,"Wolne_Zawody",3.29944099405004,4.28454726057886,10.7745562511473,0.633797426538076,0.896966049364289,1.45914791702724,0,17,1.40997501882206,83,"None"
