"","id","trainfav"
"228",228,"pływanie, rower, wspinaczka, bieganie"
"229",229,""
"230",230,"Bieganie"
"231",231,""
"232",232,"pływanie"
"233",233,"siłownia"
"234",234,"jazda konna, pływanie"
"235",235,"Siatkówka"
"236",236,"pływanie"
"237",237,""
"238",238,"Rower, ćwiczenia siłowe"
"239",239,""
"240",240,""
"241",241,"bieganie"
"242",242,"fitness"
"243",243,"trening wzmacniający z obciążeniem"
"244",244,"Taniec"
